;is_friend;verified;avg_pos_sent;avg_neg_sent;avg_sent;cluster;degree_centrality;eigenvector_centrality;clustering_coefficient
count;73253;73253;73253;73253;73253;73253;73253;73253;73253
mean;0,002621;0,000491;1,248502;-1,146551;0,050975;482,553834;0,000105;0,000560;0,073008
std;0,051129;0,022163;0,552909;0,554036;0,320447;1193,689016;0,000381;0,003652;0,184593
min;0,000000;0,000000;0,000000;-5,000000;-2,000000;0,000000;0,000014;0,000000;0,000000
25%;0,000000;0,000000;1,000000;-1,214286;0,000000;8,000000;0,000014;0,000000;0,000000
50%;0,000000;0,000000;1,041667;-1,000000;0,000000;21,000000;0,000027;0,000002;0,000000
75%;0,000000;0,000000;44682,000000;-1,000000;0,142857;61,000000;0,000055;0,000066;0,038462
max;1,000000;1,000000;5,000000;0,000000;2,000000;5487,000000;0,013583;0,094744;1,000000
;;;;;;;;;
;;;;;;;;;
;is_friend;verified;avg_pos_sent;avg_neg_sent;avg_sent;cluster;degree_centrality;eigenvector_centrality;clustering_coefficient
count;61287;61287;61287;61287;61287;61287;61287;61287;61287
mean;0,002855;0,000571;1,241134;-1,145345;0,047894;575,512425;0,000089;0,000320;0,067343
std;0,053360;0,023891;0,549206;0,555797;0,319731;1284,597827;0,000301;0,002187;0,180324
min;0,000000;0,000000;0,000000;-5,000000;-2,000000;0,000000;0,000014;0,000000;0,000000
25%;0,000000;0,000000;1,000000;-1,206897;0,000000;10,000000;0,000014;0,000000;0,000000
50%;0,000000;0,000000;1,000000;-1,000000;0,000000;21,000000;0,000027;0,000001;0,000000
75%;0,000000;0,000000;44682,000000;-1,000000;0,125000;87,000000;0,000055;0,000034;0,012312
max;1,000000;1,000000;5,000000;0,000000;2,000000;5487,000000;0,009365;0,063602;1,000000
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;diff;;;;diff;;
;;;-0,007367;0,001205;-0,003081;;0,000016;0,000240;0,005665
;;;-0,003703;0,001761;-0,000716;;0,000079;0,001465;0,004268
;;;0,000000;0,000000;0,000000;;0,000000;0,000000;0,000000
;;;0,000000;0,007389;0,000000;;0,000000;0,000000;0,000000
;;;-0,041667;0,000000;0,000000;;0,000000;0,000001;0,000000
;;;0,000000;0,000000;-0,017857;;0,000000;0,000033;0,026151
;;;0,000000;0,000000;0,000000;;0,004218;0,031142;0,000000